397	563	691	755	1007	1147	1401	1427	1574	1589	
1960	1937	1910	1881	1859	1821	1680	1670	1599	1595	
2040	2093	2171	2283	2450	2457	2876	2879	3163	3230	
4016	3990	3916	3878	3840	3647	3605	3586	3558	3386	
4200	4256	4272	4317	4323	4376	4486	4581	4804	4831	
6079	5753	5617	5496	5454	5347	5269	5242	4977	4858	
6201	6351	6364	6378	6432	6489	6510	6520	6594	6648	
7518	7473	7183	7043	7020	7020	6947	6851	6685	6672	
7641	7817	7936	7968	8025	8029	8212	8224	8247	8398	
9878	9625	9489	9389	9284	9178	9161	8980	8952	8515	
